Session_ID_128,temporal_behavior,network_selection,address_selection
7679,periodic,inconsistent,unknown
68630,intermittent,single prefix,structured
14459,periodic,inconsistent,unknown
46168,intermittent,inconsistent,unknown
48279,periodic,inconsistent,unknown
68,periodic,independent,unknown
62485,periodic,inconsistent,unknown
26395,periodic,inconsistent,unknown
49259,periodic,inconsistent,unknown
30372,periodic,inconsistent,unknown
41224,periodic,inconsistent,unknown
9469,periodic,inconsistent,unknown
55798,periodic,inconsistent,unknown
2810,intermittent,inconsistent,unknown
67782,periodic,single prefix,structured
17581,periodic,inconsistent,unknown
25253,periodic,inconsistent,unknown
12691,periodic,inconsistent,unknown
85284,periodic,independent,structured
49650,periodic,independent,unknown
51327,periodic,inconsistent,unknown
62145,one-off,single prefix,structured
47301,periodic,inconsistent,unknown
50345,periodic,inconsistent,unknown
29317,periodic,dependent,unknown
22489,periodic,inconsistent,unknown
59287,periodic,inconsistent,unknown
15546,periodic,inconsistent,unknown
5573,periodic,inconsistent,unknown
49651,periodic,independent,unknown
8623,periodic,inconsistent,unknown
33050,intermittent,dependent,structured
48280,periodic,inconsistent,unknown
60810,periodic,inconsistent,unknown
66075,periodic,inconsistent,unknown
86919,one-off,single prefix,structured
2811,intermittent,inconsistent,unknown
30373,periodic,inconsistent,unknown
46169,intermittent,inconsistent,unknown
1795,intermittent,inconsistent,unknown
2812,intermittent,inconsistent,unknown
67444,periodic,single prefix,structured
60811,periodic,inconsistent,structured
26396,periodic,inconsistent,unknown
29318,periodic,dependent,unknown
12606,one-off,single prefix,structured
47302,periodic,inconsistent,unknown
6640,periodic,inconsistent,unknown
66076,periodic,inconsistent,unknown
5574,periodic,inconsistent,unknown
85285,periodic,independent,structured
31328,intermittent,inconsistent,unknown
1796,intermittent,inconsistent,unknown
10520,periodic,inconsistent,unknown
53706,periodic,independent,unknown
71346,periodic,independent,unknown
19471,periodic,independent,unknown
32451,periodic,independent,unknown
68883,periodic,independent,unknown
76483,periodic,independent,unknown
75251,periodic,independent,unknown
44893,periodic,independent,unknown
82636,periodic,independent,unknown
74020,periodic,independent,unknown
70116,periodic,independent,unknown
72571,periodic,independent,unknown
62486,periodic,inconsistent,unknown
78944,periodic,independent,unknown
80174,periodic,independent,unknown
81405,periodic,independent,unknown
64289,periodic,inconsistent,unknown
77715,periodic,independent,unknown
10521,periodic,inconsistent,unknown
31329,intermittent,inconsistent,unknown
85286,periodic,independent,structured
24290,periodic,inconsistent,unknown
59288,periodic,inconsistent,unknown
29858,intermittent,single prefix,structured
24202,one-off,single prefix,structured
28978,one-off,single prefix,random
65773,intermittent,inconsistent,unknown
25254,periodic,inconsistent,unknown
39399,one-off,single prefix,structured
35304,periodic,independent,unknown
53707,periodic,independent,structured
36518,periodic,inconsistent,unknown
14460,periodic,inconsistent,unknown
8624,periodic,inconsistent,unknown
15547,periodic,inconsistent,unknown
55799,periodic,inconsistent,unknown
7680,periodic,inconsistent,unknown
29319,periodic,dependent,unknown
914,intermittent,inconsistent,unknown
49260,periodic,inconsistent,unknown
50346,periodic,inconsistent,unknown
4056,periodic,inconsistent,unknown
85287,periodic,independent,structured
27377,one-off,single prefix,structured
4057,periodic,inconsistent,unknown
16405,periodic,inconsistent,unknown
34269,periodic,inconsistent,unknown
71347,periodic,independent,unknown
19472,periodic,independent,unknown
68884,periodic,independent,unknown
76484,periodic,independent,unknown
75252,periodic,independent,unknown
44894,periodic,independent,unknown
82637,periodic,independent,unknown
74021,periodic,independent,unknown
70117,periodic,independent,unknown
72572,periodic,independent,unknown
5575,periodic,inconsistent,unknown
78945,periodic,independent,unknown
80175,periodic,independent,unknown
81406,periodic,independent,unknown
64290,periodic,inconsistent,unknown
77716,periodic,independent,unknown
3830,one-off,single prefix,structured
62274,intermittent,single prefix,structured
24291,periodic,inconsistent,unknown
10522,periodic,inconsistent,unknown
36168,periodic,independent,unknown
54848,periodic,inconsistent,unknown
26397,periodic,inconsistent,unknown
32452,periodic,independent,unknown
22490,periodic,inconsistent,unknown
51328,periodic,inconsistent,unknown
62380,one-off,single prefix,structured
29320,periodic,dependent,unknown
2813,intermittent,inconsistent,unknown
42898,intermittent,inconsistent,unknown
33226,periodic,inconsistent,unknown
17582,periodic,inconsistent,unknown
24292,periodic,inconsistent,unknown
34270,periodic,inconsistent,unknown
5576,periodic,inconsistent,structured
7681,periodic,inconsistent,unknown
42158,periodic,inconsistent,unknown
29321,periodic,dependent,unknown
18848,periodic,independent,random
58603,one-off,single prefix,structured
20725,periodic,inconsistent,unknown
28989,one-off,dependent,random
27563,one-off,single prefix,structured
29322,periodic,dependent,unknown
69,periodic,independent,unknown
36169,periodic,independent,unknown
85288,periodic,independent,structured
1797,intermittent,inconsistent,unknown
35305,periodic,independent,unknown
71348,periodic,independent,unknown
28979,one-off,dependent,random
19473,periodic,independent,unknown
68885,periodic,independent,unknown
76485,periodic,independent,unknown
75253,periodic,independent,unknown
44895,periodic,independent,unknown
82638,periodic,independent,unknown
74022,periodic,independent,unknown
70118,periodic,independent,unknown
28987,intermittent,dependent,random
72573,periodic,independent,unknown
78946,periodic,independent,unknown
80176,periodic,independent,unknown
81407,periodic,independent,unknown
64291,periodic,inconsistent,unknown
77717,periodic,independent,unknown
85289,periodic,independent,structured
16406,periodic,inconsistent,unknown
36519,periodic,inconsistent,unknown
41225,periodic,inconsistent,unknown
22491,periodic,inconsistent,unknown
43906,periodic,single prefix,random
10523,periodic,inconsistent,unknown
59289,periodic,inconsistent,unknown
41226,periodic,inconsistent,unknown
49261,periodic,inconsistent,unknown
48281,periodic,inconsistent,unknown
52310,periodic,inconsistent,unknown
62487,periodic,inconsistent,unknown
1798,intermittent,inconsistent,unknown
29323,periodic,dependent,unknown
11504,intermittent,single prefix,structured
33227,periodic,inconsistent,unknown
35306,periodic,independent,unknown
47303,periodic,inconsistent,unknown
85290,periodic,independent,structured
62434,one-off,single prefix,structured
915,intermittent,inconsistent,unknown
58470,intermittent,single prefix,structured
66077,periodic,inconsistent,unknown
12692,periodic,inconsistent,unknown
47304,periodic,inconsistent,unknown
17583,periodic,inconsistent,unknown
59290,periodic,inconsistent,unknown
54725,intermittent,single prefix,structured
19088,periodic,inconsistent,unknown
12693,periodic,inconsistent,unknown
60812,periodic,inconsistent,unknown
6641,periodic,inconsistent,unknown
26222,one-off,single prefix,structured
42159,periodic,inconsistent,unknown
29324,periodic,dependent,unknown
23459,intermittent,single prefix,structured
26398,periodic,inconsistent,unknown
60813,periodic,inconsistent,unknown
14461,periodic,inconsistent,unknown
51329,periodic,inconsistent,unknown
55800,periodic,inconsistent,unknown
57039,periodic,inconsistent,unknown
20726,periodic,inconsistent,unknown
36170,periodic,independent,unknown
48282,periodic,inconsistent,unknown
25255,periodic,inconsistent,unknown
50347,periodic,inconsistent,unknown
36520,periodic,inconsistent,unknown
13635,intermittent,inconsistent,unknown
34271,periodic,inconsistent,unknown
85291,periodic,independent,structured
14462,periodic,inconsistent,unknown
67357,one-off,single prefix,structured
2814,intermittent,inconsistent,unknown
